name	salary
Terry, Troy	$7,000,000
Killorn, Alex	$6,250,000
Zegras, Trevor	$5,750,000
Strome, Ryan	$5,000,000
Fabbri, Robby	$4,000,000
Vatrano, Frank	$3,650,000
McGinn, Brock	$2,750,000
Lundestrom, Isac	$1,500,000
Johnston, Ross	$1,100,000
Leason, Brett	$1,050,000
Gauthier, Cutter	$950,000
Carlsson, Leo	$950,000
McTavish, Mason	$894,167
Fowler, Cam	$6,500,000
Gudas, Radko	$4,000,000
Dumoulin, Brian	$3,150,000
Vaakanainen, Urho	$1,100,000
LaCombe, Jackson	$925,000
Mintyukov, Pavel	$918,333
Luneau, Tristan	$865,000
Zellweger, Olen	$844,167
Gibson, John	$6,400,000
Reimer, James	$1,000,000
Dostal, Lukas	$812,500
Pastrnak, David	$11,250,000
Lindholm, Elias	$7,750,000
Marchand, Brad	$6,125,000
Coyle, Charlie	$5,250,000
Zacha, Pavel	$4,750,000
Frederic, Trent	$2,300,000
Geekie, Morgan	$2,000,000
Jones, Max	$1,000,000
Beecher, John	$925,000
Poitras, Matthew	$870,000
Kastelic, Mark	$835,000
Brazeau, Justin	$775,000
Koepke, Cole	$775,000
Tufte, Riley	$775,000
McAvoy, Charlie	$9,500,000
Lindholm, Hampus	$6,500,000
Zadorov, Nikita	$5,000,000
Carlo, Brandon	$4,100,000
Peeke, Andrew	$2,750,000
Lohrei, Mason	$925,000
Wotherspoon, Parker	$800,000
Mitchell, Ian	$775,000
Regula, Alec	$775,000
Swayman, Jeremy	$8,250,000
Korpisalo, Joonas	$3,000,000
Thompson, Tage	$7,142,857
Cozens, Dylan	$7,100,000
Zucker, Jason	$5,000,000
Tuch, Alex	$4,750,000
Greenway, Jordan	$3,000,000
McLeod, Ryan	$2,100,000
Lafferty, Sam	$2,000,000
Aube-Kubel, Nicolas	$1,500,000
Krebs, Peyton	$1,450,000
Malenstyn, Beck	$1,350,000
Benson, Zach	$950,000
Kulich, Jiri	$886,667
Quinn, Jack	$863,333
Peterka, JJ	$855,833
Dahlin, Rasmus	$11,000,000
Power, Owen	$8,350,000
Samuelsson, Mattias	$4,285,714
Byram, Bowen	$3,850,000
Clifton, Connor	$3,333,333
Jokiharju, Henri	$3,100,000
Bryson, Jacob	$900,000
Gilbert, Dennis	$825,000
Luukkonen, Ukko-Pekka	$4,750,000
Levi, Devon	$925,000
Huberdeau, Jonathan	$10,500,000
Kadri, Nazem	$7,000,000
Kuzmenko, Andrei	$5,500,000
Coleman, Blake	$4,900,000
Backlund, Mikael	$4,500,000
Mantha, Anthony	$3,500,000
Sharangovich, Yegor	$3,100,000
Lomberg, Ryan	$2,000,000
Rooney, Kevin	$1,300,000
Pospisil, Martin	$1,000,000
Coronato, Matt	$925,000
Honzek, Samuel	$918,333
Zary, Connor	$863,333
Klapka, Adam	$775,000
Weegar, MacKenzie	$6,250,000
Andersson, Rasmus	$4,550,000
Bean, Jake	$1,750,000
Miromanov, Daniil	$1,250,000
Barrie, Tyson	$1,250,000
Bahl, Kevin	$1,050,000
Hanley, Joel	$787,500
Pachal, Brayden	$775,000
Vladar, Dan	$2,200,000
Wolf, Dustin	$850,000
Aho, Sebastian	$9,750,000
Svechnikov, Andrei	$7,750,000
Jarvis, Seth	$7,420,000
Necas, Martin	$6,500,000
Kotkaniemi, Jesperi	$4,820,000
Martinook, Jordan	$3,050,000
Staal, Jordan	$2,900,000
Roslovic, Jack	$2,800,000
Fast, Jesper	$2,400,000
Carrier, William	$2,000,000
Drury, Jack	$1,725,000
Robinson, Eric	$950,000
Jost, Tyson	$775,000
Lemieux, Brendan	$775,000
Orlov, Dmitry	$7,750,000
Slavin, Jaccob	$5,300,000
Burns, Brent	$5,280,000
Walker, Sean	$3,600,000
Gostisbehere, Shayne	$3,200,000
Chatfield, Jalen	$3,000,000
Montgomery, Bryce	$854,910
Andersen, Frederik	$3,400,000
Kochetkov, Pyotr	$2,000,000
Hall, Taylor	$6,000,000
Bertuzzi, Tyler	$5,500,000
Teravainen, Teuvo	$5,400,000
Foligno, Nick	$4,500,000
Dickinson, Jason	$4,250,000
Athanasiou, Andreas	$4,250,000
Mikheyev, Ilya	$4,037,500
Kurashev, Philipp	$2,250,000
Donato, Ryan	$2,000,000
Maroon, Pat	$1,300,000
Reichel, Lukas	$1,200,000
Smith, Craig	$1,000,000
Bedard, Connor	$950,000
Anderson, Joey	$800,000
Jones, Seth	$9,500,000
Vlasic, Alex	$4,600,000
Murphy, Connor	$4,400,000
Martinez, Alec	$4,000,000
Brodie, TJ	$3,750,000
Levshunov, Artyom	$975,000
Kaiser, Wyatt	$916,667
Allan, Nolan	$825,000
Phillips, Isaak	$775,000
Mrazek, Petr	$4,250,000
Brossoit, Laurent	$3,300,000
Soderblom, Arvid	$962,500
MacKinnon, Nathan	$12,600,000
Rantanen, Mikko	$9,250,000
Mittelstadt, Casey	$5,750,000
Lehkonen, Artturi	$4,500,000
Colton, Ross	$4,000,000
Drouin, Jonathan	$2,500,000
Wood, Miles	$2,500,000
O'Connor, Logan	$1,050,000
Ritchie, Calum	$950,000
Kelly, Parker	$825,000
Wagner, Chris	$775,000
Kiviranta, Joel	$775,000
Makar, Cale	$9,000,000
Toews, Devon	$7,250,000
Girard, Samuel	$5,000,000
